brand, product_name, shipping, price
ASUS AMD Radeon RX 5500 XT Overclocked O8G GDDR6 Dual Fan EVO Edition HDMI DisplayPort Gaming Graphics Card (DUAL-RX5500XT-O8G-EVO),ASUS,$3.99 Shipping,209.99
MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,Special Shipping,1299.95
ASUS GeForce GT 710 1GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-1GD5-BRK),ASUS,$3.99 Shipping,44.99
ASUS GeForce GT 1030 2GB GDDR5 HDMI DVI Graphics Card (GT1030-2G-CSM),ASUS,$0.99 Shipping,79.99
ASUS GeForce GT 710 2GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-2GD5-CSM),ASUS,$3.99 Shipping,54.99
MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,Free Shipping,239
GIGABYTE AORUS Radeon RX 5700 XT 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57XTAORUS-8GD Video Card,GIGABYTE,Free Shipping,439.99
ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,ASRock,$3.99 Shipping,439.99
ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card RX5500XT PGD 8GO,ASRock,Free Shipping,199.99
GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N207SWF3OC-8GD Video Card,GIGABYTE,$99.99 Shipping,592.99
GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656OC-4GD rev. 2.0 4GB 128-Bit GDDR6 PCI Express 3.0 x16 Video Card,GIGABYTE,Free Shipping,159.99
ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G),ASUS,$3.99 Shipping,84.99
ASUS Dual Radeon RX 5700 XT DirectX 12 DUAL-RX5700XT-O8G-EVO 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,ASUS,Free Shipping,409.99
MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card,MSI,Free Shipping,199.99
ASUS Radeon RX 580 DirectX 12 DUAL-RX580-O8G 8GB 256-Bit GDDR5 HDCP Ready CrossFireX Support Video Card,ASUS,Free Shipping,199.99
ASUS TUF Gaming GeForce GTX 1650 SUPER Overclocked 4GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1650S-O4G-GAMING),ASUS,$3.99 Shipping,169.99
ASUS AREZ RX 560 O4G OC Edition GDDR5 DP HDMI DVI AMD Graphics Card (AREZ-RX560-O4G-EVO),ASUS,Free Shipping,173.9
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING Video Card 10G-P5-3897-KR 10GB GDDR6X iCX3 Technology ARGB LED Metal Backplate,EVGA,$6.99 Shipping,809.99
EVGA GeForce RTX 2060 SC Ultra GAMING 06G-P4-2067-KR 6GB GDDR6 Dual HDB Fans,EVGA,Free Shipping,385.9
MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER GAMING X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,Free Shipping,774.89
EVGA GeForce GTX 1660 BLACK GAMING Video Card 06G-P4-1160-KR 6GB GDDR5 Single Fan,EVGA,Free Shipping,225
MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,Free Shipping,299.99
MSI Radeon RX 5500 XT DirectX 12 RX 5500 XT GAMING X 8G 8GB 128-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,MSI,Free Shipping,219.99
MSI GeForce RTX 3090 DirectX 12 RTX 3090 GAMING X TRIO 24G 24GB 384-Bit GDDR6X PCI Express 4.0 HDCP Ready SLI Support Video Card,MSI,$6.99 Shipping,1589.99
EVGA GeForce GTX 1650 SUPER SC ULTRA GAMING Video Card 04G-P4-1357-KR 4GB GDDR6 Dual Fan Metal Backplate,EVGA,$3.99 Shipping,189.99
ASUS Phoenix GeForce RTX 2060 DirectX 12 PH-RTX2060-6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,ASUS,Free Shipping,314.99
EVGA GeForce GT 1030 DirectX 12 02G-P4-6338-KR 2GB 64-Bit GDDR5 PCI Express 3.0 Video Card,EVGA,Free Shipping,89.19
GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4GB Video Card GV-N105TOC-4GL,GIGABYTE,Free Shipping,159.99
GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656WF2OC-4GD (rev. 2.0) 4GB 128-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,GIGABYTE,Free Shipping,169.99
ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-P-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,ASUS,$3.99 Shipping,159.99
ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),ASUS,$12.85 Shipping,508.67
ASUS GeForce GTX 1070 8GB Dual-fan Gaming Graphics Card (DUAL-GTX1070-8G) GPU,ASUS,Free Shipping,310
ASUS ROG STRIX GeForce RTX 2080 SUPER Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080S-A8G-GAMING),ASUS,$75.00 Shipping,1049.99
GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Video Cards,GIGABYTE,Free Shipping,159.99
MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,Free Shipping,279.99
ASUS GTX 1070 8GB Dual OC Video Card DUAL-GTX1070-O8G Nvidia GPU Graphics Card,ASUS,Free Shipping,318.99
ASRock Phantom Gaming D Radeon RX 5700 XT 8G OC Video Card RX5700XT PGD 8GO,ASRock,Free Shipping,389.99
ASUS Dual GeForce RTX 2060 SUPER DUAL-RTX2060S-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready ATX Video Card,ASUS,Free Shipping,604.98
ASUS ROG Strix GeForce GTX 1650 SUPER Advanced 4GB Edition GDDR6 HDMI 2.0 DP 1.4 Gaming Graphics Card (ROG-STRIX-GTX1650S-A4G-GAMING),ASUS,$3.99 Shipping,189.99
ASUS GeForce GTX 1650 SUPER Overclocked 4GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1650S-O4G),ASUS,$3.99 Shipping,164.99
ASUS GeForce GTX 1650 SUPER Overclocked 4GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1650S-O4G),ASUS,$3.99 Shipping,164.99
EVGA GeForce 210 DirectX 10.1 01G-P3-1313-KR 1GB 64-Bit DDR3 PCI Express 2.0 HDCP Ready Low Profile Ready Video Card,EVGA,Free Shipping,41.5
ASUS Phoenix GeForce GTX 1650 PH-GTX1650-O4GD6 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,ASUS,$3.99 Shipping,149.99
ASUS ROG Strix Radeon RX 570 DirectX 12 ROG-STRIX-RX570-O8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,ASUS,$3.99 Shipping,214.99
EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0 6GB GDDR5 LED DX12 OSD Support (PXOC) 06G-P4-6267-KR,EVGA,Free Shipping,489
ASUS TUF Gaming GeForce GTX 1660 Overclocked 6GB Dual-fan Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660-O6G-GAMING),ASUS,$3.99 Shipping,214.99
ASUS NVIDIA GeForce GT 710 Graphics Card (PCIe 2.0 2GB GDDR5 Memory 4 x HDMI Ports Single-slot Design Passive Cooling),ASUS,$3.99 Shipping,57.99
GIGABYTE GeForce GTX 1650 OC 4G Graphics Card 2 x WINDFORCE Fans 4GB 128-Bit GDDR5 GV-N1650OC-4GD Video Card,GIGABYTE,$0.99 Shipping,159.99
ASUS GeForce GTX 1080 STRIX-GTX1080-8G-GAMING 8GB 256-Bit GDDR5X PCI Express 3.0 Video Card,ASUS,Free Shipping,799
ASUS ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2070S-A8G-GAMING),ASUS,$75.00 Shipping,689.99
ASRock Challenger ITX Radeon RX 5500 XT DirectX 12 RX5500XT CLI 8G 8GB 128-Bit GDDR6 PCI Express 4.0 x8 HDCP Ready Video Card,ASRock,$6.99 Shipping,209.99
ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,ASUS,Free Shipping,684.97
GIGABYTE AORUS GeForce RTX 2070 Super 8G Graphics Card WINDFORCE Stack 8GB 256-Bit GDDR6 GV-N207SAORUS-8GC Video Card,GIGABYTE,$75.00 Shipping,729.99
EVGA GeForce 210 DirectX 10.1 01G-P3-1313-KR 1GB 64-Bit DDR3 PCI Express 2.0 HDCP Ready Low Profile Ready Video Card,EVGA,Free Shipping,41.5
MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,$45.00 Shipping,569.99
