brand, product_name, shipping, price
G.SKILL Trident Z Neo (For AMD Ryzen) Series 32GB (2 x 16GB) 288-Pin RGB DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16D-32GTZNC,G.SKILL,Free Shipping,$173.98 (3 Offers)–
G.SKILL Trident Z RGB (For AMD) 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C18D-16GTZRX,G.SKILL,Free Shipping,$92.99 (6 Offers)–
G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Intel XMP 2.0 Desktop Memory Model F4-3600C16D-32GVKC,G.SKILL,Free Shipping,$147.99 (3 Offers)–
G.SKILL Ripjaws V Series 16GB 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16S-16GVK,G.SKILL,Free Shipping,$59.99 (5 Offers)–
Crucial 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel Kit Desktop Memory Model CT2KIT25664AA800,Crucial,Free Shipping,$11.55 (15 Offers)–
G.SKILL Trident Z Neo (For AMD Ryzen) Series 16GB (2 x 8GB) 288-Pin RGB DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16D-16GTZNC,G.SKILL,Free Shipping,$114.99 (3 Offers)–
CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 DRAM DDR4 3200 (PC4 25600) Desktop Memory Model CMW16GX4M2C3200C16W,Corsair,Free Shipping,$79.99 (18 Offers)–
CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Intel XMP 2.0 Memory Kit Model CMK32GX4M2A2666C16,Corsair,Free Shipping,$109.99 (10 Offers)–
Crucial 4GB 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Memory Model CT51264BD160B,Crucial,Free Shipping,$15.98 (36 Offers)–
G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C18D-16GVK,G.SKILL,Free Shipping,$62.88 (3 Offers)–
CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 DRAM DDR4 3200 (PC4 25600) Desktop Memory Model CMW16GX4M2C3200C16,Corsair,Free Shipping,$85.99 (13 Offers)–
Crucial 4GB DDR4 2400 MT/s (PC4-19200) SR x8 DIMM 288-Pin - CT4G4DFS824A,Crucial,Free Shipping,$17.83 (38 Offers)–
G.SKILL TridentZ RGB Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16D-32GTZRC,G.SKILL,Free Shipping,$179.99 (2 Offers)–
Crucial 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CT2KIT102464BA160B,Crucial,Free Shipping,$57.99 (12 Offers)–
CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model CMK32GX4M2B3200C16,Corsair,Free Shipping,$114.99 (10 Offers)–
G.SKILL Aegis 8GB 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Memory (Desktop Memory) Model F4-3000C16S-8GISB,G.SKILL,$0.99 Shipping,$27.99 (6 Offers)–
G.SKILL TridentZ RGB Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model F4-3200C16D-16GTZR,G.SKILL,Free Shipping,$82.99 (8 Offers)–
XPG SPECTRIX D60G RGB Desktop Memory: 16GB (2x8GB) DDR4 4133MHz CL19 GREY,XPG,Free Shipping,$119.99 –
XPG Z1 Desktop Memory: 16GB (2x8GB) DDR4 3000MHz CL16 Gold,XPG,Free Shipping,$59.99 –
Crucial 8GB 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Memory Model CT102464BD160B,Crucial,Free Shipping,$31.95 (36 Offers)–
