brand, product_name, shipping, price,
G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model F4-3000C16D-16GVRB,G.SKILL,Free Shipping,$59.99 (4 Offers)–,
G.SKILL Sniper Gaming Series 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C9D-16GSR,G.SKILL,Free Shipping,$75.29 (4 Offers)–,
CORSAIR Dominator Platinum RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model CMT16GX4M2Z3200C16W,Corsair,Free Shipping,$121.99 (2 Offers)–,
CORSAIR Dominator Platinum RGB 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model CMT32GX4M2K4000C19,Corsair,Free Shipping,$479.99 (2 Offers)–,
CORSAIR Dominator Platinum RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Intel XMP 2.0 Desktop Memory Model CMT16GX4M2C3600C18W,Corsair,Free Shipping,$161.99 –,
G.SKILL TridentZ RGB Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model F4-4000C17D-16GTZR,G.SKILL,Free Shipping,$189.99 (4 Offers)–,
CORSAIR Dominator Platinum RGB 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Intel XMP 2.0 Desktop Memory Model CMT32GX4M4C3600C18W,Corsair,Free Shipping,$279.99 (2 Offers)–,
CORSAIR Dominator Platinum 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Intel XMP 2.0 Memory Kit Model CMD16GX4M2B3000C15,Corsair,Free Shipping,$99.99 (3 Offers)–,
Crucial Ballistix Elite 4000 MHz DDR4 DRAM Desktop Gaming Memory Kit 16GB (8GBx2) CL18 BLE2K8G4D40BEEAK,Ballistix,Free Shipping,$99.99 (2 Offers)–,
G.SKILL NS Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4 19200) Intel Z170 Platform / Intel X99 Platform Memory Kit Model F4-2400C15D-16GNS,G.SKILL,Free Shipping,$54.99 (2 Offers)–,
Team T-FORCE VULCAN TUF Gaming Alliance 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model TLTYD416G3600HC19ADC01,Team Group,Free Shipping,$64.99 –,
CORSAIR Dominator Platinum 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Memory Kit Model CMD16GX4M2B3200C16,Corsair,Free Shipping,$104.99 (3 Offers)–,
G.SKILL AEGIS 8GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C11S-8GIS,G.SKILL,Free Shipping,$34.99 –,
CORSAIR Vengeance LPX 64GB (4 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK64GX4M4C3200C16,Corsair,Free Shipping,$244.99 (3 Offers)–,
Kingston ValueRAM 4GB DDR4 2666MHz 288pin SDRAM DIMM Memory Module KVR26N19S64,Kingston Technology Corp.,Free Shipping,$25.86 (21 Offers)–,
Kingston ValueRAM 8GB (1 x 8GB) DDR4 2666MHz DRAM (Desktop Memory) CL19 1.2V DIMM (288-pin) KVR26N19S8/8,Kingston Technology Corp.,Free Shipping,$37.00 (24 Offers)–,
CORSAIR Dominator Platinum RGB 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model CMT32GX4M2Z3200C16,Corsair,Free Shipping,$187.99 –,
G.SKILL 4GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model F2-6400CL6S-4GBMQ,G.SKILL,Free Shipping,$77.99 –,
