brand, product_name, shipping, price,
Crucial Ballistix MAX 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model BLM2K16G40C18U4B,Crucial,Free Shipping,$339.99 –,
G.SKILL Ripjaws V Series 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Desktop Memory Model F4-2666C18Q-128GVK,G.SKILL,Free Shipping,$409.99 (2 Offers)–,
G.SKILL NT Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4 19200) Intel X299 / Z270 / Z170 / X99 Platform Desktop Memory Model F4-2400C17D-16GNT,G.SKILL,Free Shipping,$54.99 –,
Crucial Ballistix MAX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 5100 Desktop Memory Model BLM2K8G51C19U4B,Crucial,Free Shipping,$899.99 –,
G.SKILL Trident Z Royal Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16Q-32GTRSC,G.SKILL,Free Shipping,$259.99 –,
G.SKILL Trident Z Royal Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model F4-4000C18Q-32GTRG,G.SKILL,Free Shipping,$319.99 –,
Crucial 8GB 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model CT8G4DFRA32A,Crucial,Free Shipping,$31.99 (16 Offers)–,
Crucial 16GB 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model CT16G4DFRA32A,Crucial,Free Shipping,$57.99 (14 Offers)–,
G.SKILL Ripjaws 4 Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Extreme Performance Memory Kit Model F4-2666C16Q-32GRB,G.SKILL,Free Shipping,$119.99 –,
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model CMK16GX4M2K4000C19,Corsair,Free Shipping,$124.99 (2 Offers)–,
CORSAIR Vengeance LPX 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model CMK64GX4M2D3000C16,Corsair,Free Shipping,$244.99 (5 Offers)–,
Crucial 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Desktop Memory Model CT2K8G4DFRA266,Crucial,Free Shipping,$56.99 (8 Offers)–,
Crucial 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model CT2K16G4DFRA32A,Crucial,Free Shipping,$115.99 (9 Offers)–,
Crucial 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Desktop Memory Model CT2K16G4DFRA266,Crucial,Free Shipping,$113.99 (10 Offers)–,
Crucial 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model CT2K8G4DFRA32A,Crucial,Free Shipping,$60.19 (9 Offers)–,
G.SKILL TridentZ Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Intel Z170 / Z270 / Z370 Desktop Memory Model F4-4000C19D-16GTZ,G.SKILL,Free Shipping,$114.99 (2 Offers)–,
G.SKILL AEGIS 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model F3-1333C9D-16GIS,G.SKILL,Free Shipping,$69.99 (3 Offers)–,
G.SKILL Ripjaws X Series 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10D-16GXM,G.SKILL,Free Shipping,$85.29 (3 Offers)–,
G.SKILL Trident Z Neo (For AMD Ryzen) Series 64GB (4 x 16GB) 288-Pin RGB DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16Q-64GTZN,G.SKILL,Free Shipping,$489.99 –,
CORSAIR Vengeance RGB Pro 64GB (4 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model CMW64GX4M4E3200C16,Corsair,Free Shipping,$315.99 (2 Offers)–,
Patriot Viper RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4133 (PC4 33000) Intel XMP 2.0 Desktop Memory Model PVR416G413C9K,Patriot Memory,Free Shipping,$129.99 (2 Offers)–,
Kingston ValueRAM 16GB (1 x 16GB) DDR4 2666MHz DRAM (Desktop Memory) CL19 1.2V DIMM (288-pin) KVR26N19D8/16,Kingston Technology Corp.,Free Shipping,$59.50 (28 Offers)–,
G.SKILL Ares Series 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C10D-16GAO,G.SKILL,Free Shipping,$76.99 (2 Offers)–,
Crucial Ballistix MAX RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model BLM2K8G40C18U4BL,Crucial,Free Shipping,$197.99 –,
CORSAIR Vengeance LPX 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4 19200) Desktop Memory Model CMK64GX4M2A2400C16,Corsair,Free Shipping,$234.99 (2 Offers)–,
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model CMK16GX4M2Z4000C18,Corsair,Free Shipping,$149.99 –,
G.SKILL Trident Z Neo (For AMD Ryzen) Series 32GB (4 x 8GB) 288-Pin RGB DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16Q-32GTZN,G.SKILL,Free Shipping,$279.99 –,
